, YR   MON  TOTAL ClimAdjust ANOM 
110,1959   3   27.47   27.01    0.46
111,1959   4   27.88   27.46    0.42
112,1959   5   27.69   27.59    0.10
113,1959   6   27.36   27.29    0.07
114,1959   7   26.43   26.80   -0.37
115,1959   8   26.09   26.32   -0.24
116,1959   9   25.92   26.15   -0.23
117,1959  10   26.24   26.03    0.20
118,1959  11   26.04   26.10   -0.06
119,1959  12   26.18   26.18    0.00
120,1960   1   26.26   26.33   -0.07
121,1960   2   26.29   26.51   -0.22
122,1960   3   26.99   27.01   -0.02
123,1960   4   27.49   27.46    0.03
124,1960   5   27.68   27.59    0.08
125,1960   6   27.23   27.29   -0.06
126,1960   7   26.87   26.80    0.07
127,1960   8   26.69   26.32    0.36
128,1960   9   26.43   26.15    0.28
129,1960  10   26.21   26.03    0.18
130,1960  11   26.25   26.10    0.15
131,1960  12   26.22   26.18    0.04
132,1961   1   26.23   26.27   -0.04
133,1961   2   26.56   26.45    0.10
134,1961   3   26.94   26.92    0.02
135,1961   4   27.37   27.37   -0.00
136,1961   5   27.75   27.49    0.26
137,1961   6   27.66   27.22    0.44
138,1961   7   26.87   26.76    0.11
139,1961   8   26.18   26.30   -0.12
140,1961   9   25.78   26.16   -0.38
141,1961  10   25.70   26.09   -0.38
142,1961  11   26.07   26.08   -0.01
143,1961  12   25.98   26.14   -0.16
144,1962   1   25.96   26.27   -0.30
145,1962   2   26.20   26.45   -0.26
146,1962   3   26.81   26.92   -0.11
147,1962   4   27.13   27.37   -0.24
148,1962   5   27.05   27.49   -0.44
149,1962   6   27.08   27.22   -0.14
150,1962   7   26.75   26.76   -0.00
151,1962   8   26.32   26.30    0.02
152,1962   9   25.93   26.16   -0.23
153,1962  10   25.96   26.09   -0.12
154,1962  11   25.75   26.08   -0.32
155,1962  12   25.67   26.14   -0.47
156,1963   1   25.77   26.27   -0.50
157,1963   2   26.23   26.45   -0.23
158,1963   3   27.18   26.92    0.26
159,1963   4   27.79   27.37    0.41
160,1963   5   27.63   27.49    0.14
161,1963   6   27.61   27.22    0.39
162,1963   7   27.77   26.76    1.02
163,1963   8   27.47   26.30    1.17
164,1963   9   27.39   26.16    1.23
165,1963  10   27.35   26.09    1.26
166,1963  11   27.46   26.08    1.39
167,1963  12   27.61   26.14    1.47
168,1964   1   27.33   26.27    1.06
169,1964   2   27.13   26.45    0.68
170,1964   3   27.02   26.92    0.10
171,1964   4   26.95   27.37   -0.42
172,1964   5   26.82   27.49   -0.67
173,1964   6   26.58   27.22   -0.64
174,1964   7   26.33   26.76   -0.43
175,1964   8   25.59   26.30   -0.72
176,1964   9   25.32   26.16   -0.84
177,1964  10   25.36   26.09   -0.73
178,1964  11   25.26   26.08   -0.82
179,1964  12   25.22   26.14   -0.92
180,1965   1   25.66   26.27   -0.61
181,1965   2   26.20   26.45   -0.25
182,1965   3   26.95   26.92    0.03
183,1965   4   27.38   27.37    0.01
184,1965   5   27.99   27.49    0.50
185,1965   6   28.08   27.22    0.86
186,1965   7   27.89   26.76    1.14
187,1965   8   27.96   26.30    1.66
188,1965   9   28.00   26.16    1.84
189,1965  10   28.15   26.09    2.06
190,1965  11   28.11   26.08    2.03
191,1965  12   27.95   26.14    1.81
192,1966   1   27.66   26.36    1.31
193,1966   2   27.55   26.56    1.00
194,1966   3   28.21   27.02    1.19
195,1966   4   28.16   27.40    0.76
196,1966   5   27.55   27.53    0.02
197,1966   6   27.63   27.35    0.29
198,1966   7   27.32   26.90    0.42
199,1966   8   26.48   26.46    0.02
200,1966   9   26.27   26.34   -0.07
201,1966  10   26.22   26.33   -0.11
202,1966  11   26.23   26.35   -0.12
203,1966  12   26.02   26.33   -0.31
204,1967   1   25.88   26.36   -0.48
205,1967   2   26.12   26.56   -0.44
206,1967   3   26.51   27.02   -0.51
207,1967   4   26.75   27.40   -0.66
208,1967   5   27.35   27.53   -0.18
209,1967   6   27.46   27.35    0.12
210,1967   7   26.96   26.90    0.06
211,1967   8   26.43   26.46   -0.03
212,1967   9   25.85   26.34   -0.49
213,1967  10   25.96   26.33   -0.36
214,1967  11   26.07   26.35   -0.28
215,1967  12   25.95   26.33   -0.38
216,1968   1   25.69   26.36   -0.66
217,1968   2   25.69   26.56   -0.86
218,1968   3   26.34   27.02   -0.68
219,1968   4   27.10   27.40   -0.30
220,1968   5   27.19   27.53   -0.34
221,1968   6   27.87   27.35    0.52
