enso_region,country,pop_count,precip_pos_pweight_bin,precip_neg_pweight_bin,temp_pos_pweight_bin,temp_neg_pweight_bin
TE,Indonesia,210993319.2920211,0.0,1.0,1.0,0.0
WA,Iran,64940672.0754873,0.0,0.0,0.0,0.0
WA,Iraq,23814269.3187,0.0,0.0,0.0,0.0
WA,Ireland,3826992.5973482,0.0,0.0,0.0,0.0
TE,Isle of Man,76806.0,1.0,1.0,1.0,1.0
WA,Israel,5542110.685,0.0,0.0,0.0,0.0
WA,Italy,57325893.2753793,0.0,0.0,0.0,0.0
TE,Jamaica,2600048.7079780092,0.0,0.0,1.0,0.0
WA,Japan,125685241.24560261,0.0,0.0,0.0,0.0
TE,Jersey,87676.625,0.0,0.0,0.0,0.0
WA,Jordan,4322591.71558,0.0,0.0,0.0,0.0
WA,Kazakhstan,15657554.6376466,1.0,0.0,0.0,0.0
TE,Kenya,30484168.7649013,1.0,0.0,1.0,0.0
TE,Kiribati,44931.32672,1.0,1.0,1.0,1.0
WA,Kuwait,1947585.926962,0.0,0.0,0.0,0.0
WA,Kyrgyz Republic,5431982.2746,1.0,0.0,0.0,0.0
TE,Laos,5116799.15,0.0,1.0,1.0,0.0
WA,Latvia,2309832.260135,0.0,0.0,0.0,0.0
WA,Lebanon,2993959.29,1.0,0.0,0.0,0.0
TE,Lesotho,1917608.26,0.0,0.0,1.0,0.0
TE,Liberia,3008496.6411,0.0,0.0,1.0,0.0
WA,Libya,5348090.3800895,0.0,0.0,0.0,0.0
WA,Lithuania,3572121.4899999998,0.0,0.0,0.0,0.0
WA,Luxembourg,306011.78,0.0,0.0,0.0,0.0
TE,Madagascar,15744810.175692,0.0,0.0,1.0,0.0
TE,Malawi,10745774.86,0.0,0.0,1.0,0.0
TE,Malaysia,23323331.403348,0.0,0.0,1.0,0.0
TE,Maldives,266979.40763,1.0,1.0,1.0,1.0
TE,Mali,11264657.666889999,0.0,0.0,1.0,0.0
TE,Malta,387179.94999999995,1.0,1.0,1.0,1.0
TE,Marshall Islands,34549.71385,1.0,1.0,1.0,1.0
TE,Martinique,423793.309,1.0,1.0,1.0,1.0
TE,Mauritania,2699345.90684956,0.0,0.0,1.0,0.0
TE,Mauritius,1184852.51528,0.0,0.0,1.0,0.0
TE,Mayotte,150328.97464,1.0,1.0,1.0,1.0
TE,Mexico,100258998.21624522,0.0,0.0,1.0,0.0
TE,"Micronesia, Fed. Sts.",40239.06496,1.0,1.0,1.0,1.0
WA,Moldova,4137403.761,0.0,0.0,0.0,0.0
WA,Mongolia,2490181.298567,0.0,0.0,0.0,0.0
WA,Montenegro,635423.972,0.0,0.0,0.0,0.0
TE,Montserrat,4955.9995,1.0,1.0,1.0,1.0
TE,Morocco,29021338.238882467,0.0,0.0,0.0,0.0
TE,Mozambique,18642922.1551039,0.0,0.0,1.0,0.0
TE,Myanmar,48912760.472758,0.0,0.0,1.0,0.0
TE,Namibia,1621047.7757127201,0.0,1.0,1.0,0.0
TE,Nauru,10041.995,1.0,1.0,1.0,1.0
WA,Nepal,23703510.577,0.0,0.0,0.0,0.0
WA,Netherlands,14208983.234321715,0.0,0.0,0.0,0.0
TE,New Caledonia,209953.1919685,1.0,1.0,1.0,1.0
WA,New Zealand,3858233.8170638178,0.0,0.0,0.0,1.0
TE,Nicaragua,5210931.17990672,0.0,1.0,1.0,0.0
TE,Niger,11452965.98315,0.0,0.0,1.0,0.0
TE,Nigeria,122653868.344,0.0,0.0,1.0,0.0
TE,Niue,1899.9996700000002,1.0,1.0,1.0,1.0
TE,Norfolk Island,2344.51699,1.0,1.0,1.0,1.0
WA,North Korea,21626989.86319,0.0,0.0,0.0,0.0
WA,North Macedonia,1719114.22,0.0,0.0,0.0,0.0
TE,Northern Mariana Islands,65188.0216,1.0,1.0,1.0,1.0
WA,Norway,4484705.875473657,0.0,0.0,0.0,0.0
TE,Oman,2358540.867979527,0.0,0.0,1.0,0.0
WA,Pakistan,135393763.5861,1.0,0.0,0.0,0.0
TE,Palau,18608.1322886,1.0,1.0,1.0,1.0
WA,Palestine,2526130.2,1.0,0.0,0.0,0.0
TE,Panama,3091093.1122474917,0.0,1.0,1.0,0.0
TE,Papua New Guinea,5367432.4041703,0.0,1.0,1.0,1.0
TE,Paraguay,4607017.30225,1.0,0.0,0.0,0.0
TE,Peru,25911188.360548,0.0,0.0,1.0,0.0
TE,Philippines,77691954.8785313,0.0,1.0,1.0,0.0
TE,Pitcairn,93.108658,1.0,1.0,1.0,1.0
WA,Poland,37949809.3288,0.0,0.0,0.0,0.0
WA,Portugal,10237860.941477869,1.0,0.0,0.0,0.0
TE,Puerto Rico,3798372.26968,0.0,0.0,1.0,0.0
WA,Qatar,598678.3793,0.0,0.0,0.0,0.0
TE,Reunion,736710.96,1.0,1.0,1.0,1.0
