Country,Year,Direct N2O,Indirect N2O,CH4,CO2eq & AR5,CO2,Area harvested,Production,Yield,Stocks,Milk Animals,Meat Animals,Onset1,Anomaly,enso_region,pop_count,precip_pos,precip_neg,temp_pos,temp_neg
Liberia,1990,0.2223125,3.3079466666666666,6781.79528,2938.2404125,0.06855,25405.925925925927,5700.0,46066.666666666664,45762.346153846156,122673.33333333333,39380.45714285714,0,0.31916666666666665,TE,3008496.6411,0.0,0.0,1.0,0.0
Liberia,1991,0.19477499999999998,2.981866666666667,6781.2594899999995,2929.136808333333,0.0618,18811.51851851852,5600.0,46066.666666666664,38338.36538461538,119066.66666666667,39102.91428571429,0,0.6416666666666667,TE,3008496.6411,0.0,0.0,1.0,0.0
Liberia,1992,0.19635,3.0144333333333333,6781.370659999999,2929.9417541666667,0.062175,20326.962962962964,5500.0,46066.666666666664,39885.019230769234,118822.22222222222,39180.485714285714,0,0.6266666666666666,TE,3008496.6411,0.0,0.0,1.0,0.0
Liberia,1993,0.177825,2.7430333333333334,6781.83428,2923.2412958333334,0.0578875,16114.111111111111,5672.0,46066.666666666664,36976.692307692305,117711.11111111111,39316.65714285714,0,0.3233333333333333,TE,3008496.6411,0.0,0.0,1.0,0.0
Liberia,1994,0.173175,2.67684,6781.709089999999,2921.4953041666668,0.0568375,14204.148148148148,5675.0,46066.666666666664,36429.692307692305,117711.11111111111,39494.37142857143,0,0.48,TE,3008496.6411,0.0,0.0,1.0,0.0
Liberia,1995,0.174975,2.6996666666666664,6782.67807,2922.6096249999996,0.0572125,14083.518518518518,5678.0,46066.666666666664,34588.36538461538,117711.11111111111,39494.857142857145,0,-0.17083333333333336,TE,3008496.6411,0.0,0.0,1.0,0.0
Liberia,1996,0.18412499999999998,2.1641199999999996,6783.235889999999,2900.2439833333333,0.05925,16999.037037037036,5681.0,46200.0,38796.88461538462,117711.11111111111,39946.114285714284,0,-0.45916666666666667,TE,3008496.6411,0.0,0.0,1.0,0.0
Liberia,1997,0.20437500000000003,2.26534,6784.108679999999,2903.9637666666663,0.06382499999999999,23904.25925925926,5684.0,46233.333333333336,47547.07692307692,117711.11111111111,39883.94285714286,0,1.1708333333333332,TE,3008496.6411,0.0,0.0,1.0,0.0
Liberia,1998,0.2142,2.5931533333333334,6786.740949999999,2913.2665791666664,0.066,27061.25925925926,5686.0,46283.333333333336,51000.57692307692,117711.11111111111,40001.22857142857,0,-0.05499999999999999,TE,3008496.6411,0.0,0.0,1.0,0.0
Liberia,1999,0.21142499999999997,2.4333933333333335,6789.556879999999,2911.1660374999997,0.0654,27948.62962962963,5689.0,46283.333333333336,53165.653846153844,117711.11111111111,40427.02857142857,0,-1.2241666666666666,TE,3008496.6411,0.0,0.0,1.0,0.0
